Prey Count;Prey Hunger;Prey Thirst;Prey Speed;Prey Size;Prey Age;Predator Count;Predator Hunger;Predator Thirst;Predator Speed;Predator Size;Predator Age
5;47.2;65.8;91;71.4;7.6;5;80.2;91.4;58.4;95;12.2
5;42.2;60.8;91.8;70.6;8.6;5;75.2;91.4;58.8;94.6;13.2
5;42.2;55.8;92.2;70.2;9.6;5;70.2;86.4;59.6;93.8;14.2
5;37.2;55.8;92.6;69.8;10.6;5;65.2;81.4;60;93.4;15.2
5;52.2;50.8;93.4;69;11.6;5;60.2;76.4;60.4;93;16.2
5;52.2;55.8;93.4;69;12.6;5;60.2;71.4;60.8;92.6;17.2
5;57.2;55.8;93.4;69;13.6;5;60.2;66.4;61.2;92.2;18.2
5;52.2;60.8;92.6;69.8;14.6;5;55.2;71.4;61.6;91.8;19.2
5;62.2;55.8;92.2;70.2;15.6;5;55.2;66.4;61.6;91.8;20.2
5;58.2;69.2;91.8;70.6;16.4;5;55.2;66.4;61.6;91.8;21.2
5;66.4;65.2;92.2;70.2;17.2;5;51.2;67.4;61.6;91.8;22
5;62.4;71.4;92.2;70.2;18;5;50.4;63.4;61.6;91.8;22.8
5;66.2;67.4;92.2;70.2;18.8;5;46.4;62.6;61.6;91.8;23.6
5;62.2;69.4;92.2;70.2;19.6;5;44.4;58.6;62;91.4;24.4
5;64.2;65.4;92.2;70.2;20.4;5;41.4;57.6;62;91.4;25
5;60.2;67.4;92.2;70.2;21.2;5;40.4;54.6;62;91.4;25.6
5;62.2;63.4;92.2;70.2;22;5;37.4;53.6;62;91.4;26.2
5;58.2;65.4;92.2;70.2;22.8;5;36.4;50.6;62.4;91;26.8
5;60.2;61.4;92.2;70.2;23.6;5;33.4;49.6;62.8;90.6;27.4
5;56.2;63.4;92.2;70.2;24.4;5;32.4;46.6;62.8;90.6;28
5;59.2;60.4;92.2;70.2;25;5;29.4;45.6;62.8;90.6;28.6
5;56.2;63.4;92.2;70.2;25.6;5;28.4;42.6;62.8;90.6;29.2
5;59.2;60.4;92.2;70.2;26.2;5;25.4;41.6;62.8;90.6;29.8
